Setor,Ano,Rank,UF,EXP_USD,EXP_Kg,Share_BR_Pct
Madeira (CNAE 16),2025,7,RO,71302334.0,45991313.0,2.26
Madeira (CNAE 16),2025,8,MT,66925395.0,69318849.0,2.12
Madeira (CNAE 16),2025,9,AM,12287863.0,21095551.0,0.39
Madeira (CNAE 16),2025,10,MG,12168801.0,33698915.0,0.39
Madeira e Moveis (16+31),2023,1,SC,1362485080.0,1851761434.0,34.54
Madeira e Moveis (16+31),2023,2,PR,1333764450.0,1868660870.0,33.82
Madeira e Moveis (16+31),2023,3,RS,528419054.0,1546066851.0,13.4
Madeira e Moveis (16+31),2023,4,SP,233248330.0,297564407.0,5.91
Madeira e Moveis (16+31),2023,5,PA,195370820.0,144357638.0,4.95
Madeira e Moveis (16+31),2023,6,MT,84253423.0,74977441.0,2.14
Madeira e Moveis (16+31),2023,7,AP,83493536.0,705707964.0,2.12
Madeira e Moveis (16+31),2023,8,RO,59716690.0,40260614.0,1.51
Madeira e Moveis (16+31),2023,9,MG,24759354.0,34757158.0,0.63
Madeira e Moveis (16+31),2023,10,AM,17539150.0,24728005.0,0.44
Madeira e Moveis (16+31),2024,1,SC,1550194028.0,2191960487.0,36.79
Madeira e Moveis (16+31),2024,2,PR,1397779361.0,2032034118.0,33.17
Madeira e Moveis (16+31),2024,3,RS,540890823.0,1621782131.0,12.84
Madeira e Moveis (16+31),2024,4,SP,259568449.0,336614843.0,6.16
Madeira e Moveis (16+31),2024,5,PA,189676771.0,141387576.0,4.5
Madeira e Moveis (16+31),2024,6,AP,79264970.0,675151621.0,1.88
Madeira e Moveis (16+31),2024,7,MT,72772742.0,67927689.0,1.73
Madeira e Moveis (16+31),2024,8,RO,55171527.0,40920859.0,1.31
Madeira e Moveis (16+31),2024,9,MG,28054797.0,48182620.0,0.67
Madeira e Moveis (16+31),2024,10,AM,10407156.0,15703911.0,0.25
Madeira e Moveis (16+31),2025,1,SC,1425209293.0,2191844373.0,36.93
Madeira e Moveis (16+31),2025,2,PR,1210325312.0,1885081180.0,31.36
Madeira e Moveis (16+31),2025,3,RS,457456363.0,958496686.0,11.85
Madeira e Moveis (16+31),2025,4,SP,284422460.0,384694368.0,7.37
Madeira e Moveis (16+31),2025,5,PA,210028829.0,160486744.0,5.44
Madeira e Moveis (16+31),2025,6,AP,74905096.0,651799681.0,1.94
Madeira e Moveis (16+31),2025,7,RO,71507275.0,46049697.0,1.85
Madeira e Moveis (16+31),2025,8,MT,67103646.0,69342498.0,1.74
Madeira e Moveis (16+31),2025,9,MG,20717217.0,37088683.0,0.54
Madeira e Moveis (16+31),2025,10,AM,12363404.0,21110312.0,0.32
Moveis (CNAE 31),2023,1,SC,253109987.0,100263501.0,37.18
Moveis (CNAE 31),2023,2,RS,206648365.0,117280259.0,30.35
Moveis (CNAE 31),2023,3,PR,102383616.0,68532110.0,15.04
Moveis (CNAE 31),2023,4,SP,92828474.0,22958798.0,13.64
Moveis (CNAE 31),2023,5,MG,14736247.0,6750804.0,2.16
Moveis (CNAE 31),2023,6,ES,4741301.0,2322973.0,0.7
Moveis (CNAE 31),2023,7,RJ,1594299.0,160268.0,0.23
Moveis (CNAE 31),2023,8,BA,764731.0,58316.0,0.11
Moveis (CNAE 31),2023,9,CE,739398.0,277580.0,0.11
Moveis (CNAE 31),2023,10,PA,665483.0,105939.0,0.1
Moveis (CNAE 31),2024,1,SC,251532828.0,101967542.0,35.56
Moveis (CNAE 31),2024,2,RS,223901466.0,133895428.0,31.65
Moveis (CNAE 31),2024,3,PR,114344799.0,78209505.0,16.17
Moveis (CNAE 31),2024,4,SP,93896329.0,19127864.0,13.27
Moveis (CNAE 31),2024,5,MG,12681677.0,5652429.0,1.79
Moveis (CNAE 31),2024,6,ES,5361349.0,2522683.0,0.76
Moveis (CNAE 31),2024,7,RJ,2493064.0,91282.0,0.35
Moveis (CNAE 31),2024,8,BA,785337.0,66445.0,0.11
Moveis (CNAE 31),2024,9,PE,485404.0,132918.0,0.07
Moveis (CNAE 31),2024,10,RO,439444.0,117555.0,0.06
Moveis (CNAE 31),2025,1,SC,253193453.0,105240699.0,36.01
Moveis (CNAE 31),2025,2,RS,210654809.0,130948447.0,29.96
Moveis (CNAE 31),2025,3,PR,127158020.0,85763078.0,18.09
Moveis (CNAE 31),2025,4,SP,93641856.0,18436654.0,13.32
Moveis (CNAE 31),2025,5,MG,8548416.0,3389768.0,1.22
Moveis (CNAE 31),2025,6,ES,5052830.0,2449936.0,0.72
Moveis (CNAE 31),2025,7,RJ,1627255.0,52171.0,0.23
Moveis (CNAE 31),2025,8,PE,862340.0,105019.0,0.12
Moveis (CNAE 31),2025,9,BA,564098.0,33742.0,0.08
Moveis (CNAE 31),2025,10,ND,305910.0,9507.0,0.04
Papel e Celulose (CNAE 17),2023,1,SP,2534580149.0,5219822927.0,24.47
Papel e Celulose (CNAE 17),2023,2,MS,1497588834.0,3979995622.0,14.46
Papel e Celulose (CNAE 17),2023,3,PR,1361248662.0,1694227270.0,13.14
Papel e Celulose (CNAE 17),2023,4,BA,1247252562.0,3003867309.0,12.04
