Setor,Ano,Rank,Pais,Exportacoes USD,Share (%),Share Acumulado (%)
Base Florestal (CNAE 2),2024,4,Alemanha,1372789.0,2.7,95.7
Base Florestal (CNAE 2),2024,5,Coreia do Sul,620044.0,1.2,97.0
Base Florestal (CNAE 2),2024,6,Peru,227891.0,0.4,97.4
Base Florestal (CNAE 2),2024,7,Geórgia,143257.0,0.3,97.7
Base Florestal (CNAE 2),2024,8,Taiwan (Formosa),138043.0,0.3,98.0
Base Florestal (CNAE 2),2024,9,Singapura,117991.0,0.2,98.2
Base Florestal (CNAE 2),2024,10,México,107460.0,0.2,98.4
Base Florestal (CNAE 2),2025,1,Portugal,22985441.0,46.9,46.9
Base Florestal (CNAE 2),2025,2,China,21110946.0,43.1,90.0
Base Florestal (CNAE 2),2025,3,Estados Unidos,1358294.0,2.8,92.7
Base Florestal (CNAE 2),2025,4,Alemanha,1031778.0,2.1,94.8
Base Florestal (CNAE 2),2025,5,Coreia do Sul,635315.0,1.3,96.1
Base Florestal (CNAE 2),2025,6,Chile,343293.0,0.7,96.8
Base Florestal (CNAE 2),2025,7,Índia,233222.0,0.5,97.3
Base Florestal (CNAE 2),2025,8,Áustria,205534.0,0.4,97.7
Base Florestal (CNAE 2),2025,9,México,201540.0,0.4,98.1
Base Florestal (CNAE 2),2025,10,Peru,142120.0,0.3,98.4
Papel e Celulose (CNAE 17),2023,1,Argentina,84071038.0,24.1,24.1
Papel e Celulose (CNAE 17),2023,2,Estados Unidos,36168053.0,10.4,34.4
Papel e Celulose (CNAE 17),2023,3,Chile,34963699.0,10.0,44.4
Papel e Celulose (CNAE 17),2023,4,Paraguai,28442464.0,8.1,52.6
Papel e Celulose (CNAE 17),2023,5,México,23660633.0,6.8,59.3
Papel e Celulose (CNAE 17),2023,6,Uruguai,21618970.0,6.2,65.5
Papel e Celulose (CNAE 17),2023,7,Equador,19813320.0,5.7,71.2
Papel e Celulose (CNAE 17),2023,8,Bolívia,17799123.0,5.1,76.3
Papel e Celulose (CNAE 17),2023,9,África do Sul,17291710.0,5.0,81.3
Papel e Celulose (CNAE 17),2023,10,Arábia Saudita,9817260.0,2.8,84.1
Papel e Celulose (CNAE 17),2024,1,Argentina,86092676.0,26.0,26.0
Papel e Celulose (CNAE 17),2024,2,Paraguai,34629834.0,10.5,36.5
Papel e Celulose (CNAE 17),2024,3,México,27885706.0,8.4,44.9
Papel e Celulose (CNAE 17),2024,4,Estados Unidos,25186395.0,7.6,52.5
Papel e Celulose (CNAE 17),2024,5,Uruguai,22804860.0,6.9,59.4
Papel e Celulose (CNAE 17),2024,6,Chile,20601490.0,6.2,65.6
Papel e Celulose (CNAE 17),2024,7,Bolívia,13847976.0,4.2,69.8
Papel e Celulose (CNAE 17),2024,8,Arábia Saudita,9173751.0,2.8,72.6
Papel e Celulose (CNAE 17),2024,9,África do Sul,8561898.0,2.6,75.2
Papel e Celulose (CNAE 17),2024,10,China,7761246.0,2.3,77.5
Papel e Celulose (CNAE 17),2025,1,Argentina,101518662.0,27.4,27.4
Papel e Celulose (CNAE 17),2025,2,Paraguai,37865529.0,10.2,37.6
Papel e Celulose (CNAE 17),2025,3,Chile,29202628.0,7.9,45.4
Papel e Celulose (CNAE 17),2025,4,México,23686033.0,6.4,51.8
Papel e Celulose (CNAE 17),2025,5,Uruguai,23164116.0,6.2,58.0
Papel e Celulose (CNAE 17),2025,6,Estados Unidos,23149768.0,6.2,64.3
Papel e Celulose (CNAE 17),2025,7,Equador,19072749.0,5.1,69.4
Papel e Celulose (CNAE 17),2025,8,Bolívia,16258564.0,4.4,73.8
Papel e Celulose (CNAE 17),2025,9,África do Sul,15047674.0,4.1,77.9
Papel e Celulose (CNAE 17),2025,10,China,8647715.0,2.3,80.2
